,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"ALNYLAM PHARMACEUT",MAR,ALNY,ALNY,"Group One Trading, L.P.","NASDAQ","N",ALNY,
"ALON USA ENERGY, INC",MAR,ALJ,ALJ,"Citadel Securities LLC","NYSE","N",ALJ,
"ALON USA PARTNERS LP",FEB,ALDW,ALDW,"Wolverine Trading, LLC","NYSE","N",ALDW,
"ALPHA AND OMEGA SEMI",MAR,AOSL,AOSL,"Susquehanna Securities","NASDAQ","N",AOSL,
"ALPHA PRO TECH",FEB,APT,APT,"Citadel Securities LLC","NYSE MKT","N",APT,
"ALPHABET CL A CMN",MAR,GOOGL,GOOGL,"Citadel Securities LLC","NASDAQ","N",GOOGL,
"ALPHABET CL A CMN(ADJ)",,GOLG1,GOLG1,"Citadel Securities LLC","NASDAQ","N",GOOGL,"GOOG"
"ALPHABET CL C CAP",MAR,GOOG,GOOG,"Citadel Securities LLC","NASDAQ","N",GOOG,
"ALPHATEC HOLDINGS",FEB,ATEC,ATEC,"Wolverine Trading, LLC","NASDAQ","N",ATEC,
"ALPS MEDICAL BRKTHRU",JAN,SBIO,SBIO,"Wolverine Trading, LLC","NYSE ARCA","N",SBIO,
"ALTISOURCE PORTFOLIO",JAN,ASPS,ASPS,"Citadel Securities LLC","NASDAQ","N",ASPS,
"ALTISOURCE RESIDENTI",MAR,RESI,RESI,"Citadel Securities LLC","NYSE","N",RESI,
"ALTRA INDTL MTN CMN",JAN,AIMC,AIMC,"Wolverine Trading, LLC","NASDAQ","N",AIMC,
"ALTRIA GROUP INC",MAR,MO,MO,"Citadel Securities LLC","NYSE","N",MO,
"ALUMINUM CORP CHINA",FEB,ACH,ACH,"Citadel Securities LLC","NYSE","N",ACH,
"AMAG PHARMACEUTICALS",FEB,AMAG,AMAG,"Citadel Securities LLC","NASDAQ","N",AMAG,
"AMARIN CORP ADS",MAR,AMRN,AMRN,"Citadel Securities LLC","NASDAQ","N",AMRN,
"AMAYA INC. CMN STK",FEB,AYA,AYA,"Wolverine Trading, LLC","NASDAQ","N",AYA,
