,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"LEUCADIA NATL CP",MAR,LUK,LUK,"Timber Hill LLC","NYSE","N",LUK,
"LEVEL 3 COMM INC",MAR,LVLT,LVLT,"Timber Hill LLC","NYSE","N",LVLT,
"LEXICON PHARMACEUTCL",JAN,LXRX,LXRX,"Group One Trading, L.P.","NASDAQ","N",LXRX,
"LEXINGTON REALTY TRU",FEB,LXP,LXP,"Susquehanna Securities","NYSE","N",LXP,
"LEXMARK INTL INC",JAN,LXK,LXK,"Timber Hill LLC","NYSE","N",LXK,
"LG DISPLAY CO LTD AD",JAN,LPL,LPL,"Wolverine Trading, LLC","NYSE","N",LPL,
"LGI HOMES, INC.",FEB,LGIH,LGIH,"Citadel Securities LLC","NASDAQ","N",LGIH,
"LHC GROUP, INC.",MAR,LHCG,LHCG,"Susquehanna Securities","NASDAQ","N",LHCG,
"LIBBEY INC    SC",MAR,LBY,LBY,"Wolverine Trading, LLC","NYSE MKT","N",LBY,
"LIBERTY GLOBAL ORD A",JAN,LBTYA,LBTYA,"Citadel Securities LLC","NASDAQ","N",LBTYA,
"LIBERTY GLOBAL ORD C",JAN,LBTYK,LBTYK,"Susquehanna Securities","NASDAQ","N",LBTYK,
"LIBERTY INT QVC SR A",JAN,QVCA,QVCA,"Susquehanna Securities","NASDAQ","N",QVCA,
"LIBERTY MEDIA SRS A",JAN,LMCA,LMCA,"Wolverine Trading, LLC","NASDAQ","N",LMCA,
"LIBERTY PROPERTIES",JAN,LPT,LPT,"Citadel Securities LLC","NYSE","N",LPT,
"LIBERTY VNTRS SRS A",MAR,LVNTA,LVNTA,"Susquehanna Securities","NASDAQ","N",LVNTA,
"LIFELOCK, INC.",FEB,LOCK,LOCK,"Susquehanna Securities","NYSE","N",LOCK,
"LIFEPOINT HEALTH CM",FEB,LPNT,LPNT,"Citadel Securities LLC","NASDAQ","N",LPNT,
"LIGAND PHARM CMN",FEB,LGND,LGND,"Susquehanna Securities","NASDAQ","N",LGND,
"LIGHTBRIDGE CORP",JAN,LTBR,LTBR,"Citadel Securities LLC","NASDAQ","N",LTBR,
"LIGHTINTHEBOX ADR",MAR,LITB,LITB,"Wolverine Trading, LLC","NYSE","N",LITB,
"LILLY ELI CO",JAN,LLY,LLY,"Timber Hill LLC","NYSE","N",LLY,
"LIMELIGHT NETWORKS,",MAR,LLNW,LLNW,"Citadel Securities LLC","NASDAQ","N",LLNW,
"LIMONEIRA CO",MAR,LMNR,LMNR,"Susquehanna Securities","NASDAQ","N",LMNR,
"LINCOLN EDUCATIONAL",MAR,LINC,LINC,"Susquehanna Securities","NASDAQ","N",LINC,
"LINCOLN ELEC HLDG",MAR,LECO,LECO,"Citadel Securities LLC","NASDAQ","N",LECO,
"LINCOLN NATL CP",JAN,LNC,LNC,"Citigroup Derivatives Markets Inc.","NYSE","N",LNC,
"LINDSAY CORPORATION",MAR,LNN,LNN,"Citadel Securities LLC","NYSE","N",LNN,
"LINEAR TECHNOLOGY",FEB,LLTC,LLTC,"Citigroup Derivatives Markets Inc.","NASDAQ","N",LLTC,
"LINKEDIN CORPORATION",FEB,LNKD,LNKD,"Susquehanna Securities","NYSE","N",LNKD,
"LINN CO, LLC",FEB,LNCO,LNCO,"Citadel Securities LLC","NASDAQ","N",LNCO,
"LINN ENERGY LLC UTS",JAN,LINE,LINE,"Susquehanna Securities","NASDAQ","N",LINE,
"LIONBRIDGE TECH",MAR,LIOX,LIOX,"Susquehanna Securities","NASDAQ","N",LIOX,
"LIONS GATE ENTMT CP",MAR,LGF,LGF,"Group One Trading, L.P.","NYSE","N",LGF,
"LIPOCINE INC COMMON",FEB,LPCN,LPCN,"Susquehanna Securities","NASDAQ","N",LPCN,
"LIQUIDITY SERVICES",MAR,LQDT,LQDT,"Susquehanna Securities","NASDAQ","N",LQDT,
"LITHIA MOTORS INC",MAR,LAD,LAD,"Citadel Securities LLC","NYSE","N",LAD,
"LITTELFUSE, INC.",MAR,LFUS,LFUS,"Citadel Securities LLC","NASDAQ","N",LFUS,
"LIVE NATION ENTMNT",JAN,LYV,LYV,"Citadel Securities LLC","NYSE","N",LYV,
"LIVE VENTURES CMN",FEB,LIVE,LIVE,"Citadel Securities LLC","NASDAQ","N",LIVE,
"LIVEPERSON INC",JAN,LPSN,LPSN,"Barclays Capital Inc.","NASDAQ","N",LPSN,
"LKQ CORP",FEB,LKQ,LKQ,"Wolverine Trading, LLC","NASDAQ","N",LKQ,
"LLOYDS BNKG GP ADS",JAN,LYG,LYG,"Group One Trading, L.P.","NYSE","N",LYG,
"LMI AEROSPACE INC",MAR,LMIA,LMIA,"Susquehanna Securities","NASDAQ","N",LMIA,
"LOCKHEED MARTIN CP",MAR,LMT,LMT,"Timber Hill LLC","NYSE","N",LMT,
"LOEWS CP",MAR,L,L,"Citadel Securities LLC","NYSE","N",L,
"LOGITECH INT SA",MAR,LOGI,LOGI,"Timber Hill LLC","NASDAQ","N",LOGI,
"LOGMEIN, INC.",MAR,LOGM,LOGM,"Citadel Securities LLC","NASDAQ","N",LOGM,
"LORAL SPACE COMM",JAN,LORL,LORL,"Wolverine Trading, LLC","NASDAQ","N",LORL,
"LOUISIANA PACIFIC CP",FEB,LPX,LPX,"Citigroup Derivatives Markets Inc.","NYSE","N",LPX,
"LOWES COMPANIES",JAN,LOW,LOW,"Timber Hill LLC","NYSE","N",LOW,
"LPATH INC CMN A",JAN,LPTN,LPTN,"Susquehanna Securities","NASDAQ","N",LPTN,
"LPL FINANCIAL HLD CM",JAN,LPLA,LPLA,"Wolverine Trading, LLC","NASDAQ","N",LPLA,
"LRAD CORPORATION",JAN,LRAD,LRAD,"Wolverine Trading, LLC","NASDAQ","N",LRAD,
"LSB INDUSTRIES INC",MAR,LXU,LXU,"Wolverine Trading, LLC","NYSE","N",LXU,
"LUBY S INC",JAN,LUB,LUB,"Wolverine Trading, LLC","NYSE","N",LUB,
"LULULEMON ATHLETICA",MAR,LULU,LULU,"Timber Hill LLC","NASDAQ","N",LULU,
"LUMBER LIQUID HLDGS",FEB,LL,LL,"Susquehanna Securities","NYSE","N",LL,
"LUMINEX CORPORATION",JAN,LMNX,LMNX,"Susquehanna Securities","NASDAQ","N",LMNX,
"LUMOS NETWORKS CORP",JAN,LMOS,LMOS,"Susquehanna Securities","NASDAQ","N",LMOS,
"LUXOTTICA GP SPA",JAN,LUX,LUX,"Susquehanna Securities","NYSE","N",LUX,
"LYDALL INC",FEB,LDL,LDL,"Susquehanna Securities","NYSE","N",LDL,
"LYON WILLIAM HOMES",FEB,WLH,WLH,"Citadel Securities LLC","NYSE","N",WLH,
"LYONDELLBASELL",MAR,LYB,LYB,"Citadel Securities LLC","NYSE","N",LYB,
"M B I A INC",FEB,MBI,MBI,"Citadel Securities LLC","NYSE","N",MBI,
"M D C HOLDINGS",MAR,MDC,MDC,"Citadel Securities LLC","NYSE","N",MDC,
"M G I C INVEST CP",MAR,MTG,MTG,"Susquehanna Securities","NYSE","N",MTG,
"M I HOMES INC",JAN,MHO,MHO,"Susquehanna Securities","NYSE","N",MHO,
"M T S SYSTEMS CP",JAN,MTSC,MTSC,"Susquehanna Securities","NASDAQ","N",MTSC,
"M&T BANK CORP",JAN,MTB,MTB,"Citadel Securities LLC","NYSE","N",MTB,
"MACATAWA BANK CORP",MAR,MCBC,MCBC,"Wolverine Trading, LLC","NASDAQ","N",MCBC,
"MACK-CALI REALTY CP",JAN,CLI,CLI,"Citadel Securities LLC","NYSE","N",CLI,
"MACQUARIE INFRASTRUC",JAN,MIC,MIC,"Group One Trading, L.P.","NYSE","N",MIC,
"MACY'S INC",FEB,M,M,"Citigroup Derivatives Markets Inc.","NYSE","N",M,
"MAG SILVER CORP",FEB,MVG,MVG,"Susquehanna Securities","NYSE MKT","N",MVG,
"MAGELLAN HEALTH CMN",MAR,MGLN,MGLN,"Susquehanna Securities","NASDAQ","N",MGLN,
"MAGELLAN MIDSTREAM",JAN,MMP,MMP,"Susquehanna Securities","NYSE","N",MMP,
"MAGIC SOFTWARE ENTPR",FEB,MGIC,MGIC,"Susquehanna Securities","NASDAQ","N",MGIC,
"MAGICJACK VOCALTEC L",MAR,CALL,CALL,"Wolverine Trading, LLC","NASDAQ","N",CALL,
"MAGNA INTL INC",MAR,MGA,MGA,"Susquehanna Securities","NYSE","N",MGA,
"MAGNACHIP SEMICONDUC",MAR,MX,MX,"Susquehanna Securities","NYSE","N",MX,
"MAIDEN HOLDINGS LTD",FEB,MHLD,MHLD,"Susquehanna Securities","NASDAQ","N",MHLD,
"MAIN STREET CAPITAL",MAR,MAIN,MAIN,"Susquehanna Securities","NYSE","N",MAIN,
"MAKEMYTRIP LIMITED",FEB,MMYT,MMYT,"Susquehanna Securities","NASDAQ","N",MMYT,
"MALIBU BOATS CMN A",FEB,MBUU,MBUU,"Citadel Securities LLC","NASDAQ","N",MBUU,
"MALLINCKRODT PLC",JAN,MNK,MNK,"Susquehanna Securities","NYSE","N",MNK,
"MANCHESTER UNITED",MAR,MANU,MANU,"Citadel Securities LLC","NYSE","N",MANU,
"MANHATTAN ASSOC",JAN,MANH,MANH,"Citadel Securities LLC","NASDAQ","N",MANH,
"MANITEX INTL INC",MAR,MNTX,MNTX,"Wolverine Trading, LLC","NASDAQ","N",MNTX,
"MANITOWOC CO INC",MAR,MTW,MTW,"Citadel Securities LLC","NYSE","N",MTW,
"MANITOWOC CO INC(ADJ)",,MTW1,MTW1,"Citadel Securities LLC","NYSE","N",MTW,"MFS"
"MANNING & NAPIER INC",MAR,MN,MN,"Susquehanna Securities","NYSE","N",MN,
"MANNKIND CORPORATION",FEB,MNKD,MNKD,"Citadel Securities LLC","NASDAQ","N",MNKD,
"MANPOWERGROUP",MAR,MAN,MAN,"Timber Hill LLC","NYSE","N",MAN,
"MANTECH INTL CP A",FEB,MANT,MANT,"Citadel Securities LLC","NASDAQ","N",MANT,
"MANULIFE FIN CORP",MAR,MFC,MFC,"Group One Trading, L.P.","NYSE","N",MFC,
"MARATHON OIL CORP",JAN,MRO,MRO,"Timber Hill LLC","NYSE","N",MRO,
"MARATHON PETROLEUM",JAN,MPC,MPC,"Timber Hill LLC","NYSE","N",MPC,
"MARCHEX, INC.",MAR,MCHX,MCHX,"Citadel Securities LLC","NASDAQ","N",MCHX,
"MARCUS CP",FEB,MCS,MCS,"Susquehanna Securities","NYSE","N",MCS,
"MARIN SOFTWARE INC.",FEB,MRIN,MRIN,"Citadel Securities LLC","NYSE","N",MRIN,
"MARINE PRODUCTS CORP",MAR,MPX,MPX,"Susquehanna Securities","NYSE","N",MPX,
"MARINEMAX INC",JAN,HZO,HZO,"Susquehanna Securities","NYSE","N",HZO,
"MARKEL CP HLDG CO",JAN,MKL,MKL,"Susquehanna Securities","NYSE","N",MKL,
"MARKET VECTORS BRAZL",JAN,BRF,BRF,"Citadel Securities LLC","NYSE ARCA","N",BRF,
"MARKET VECTORS COAL",JAN,KOL,KOL,"Citadel Securities LLC","NYSE ARCA","N",KOL,
"MARKET VECTORS GAMIN",FEB,BJK,BJK,"Wolverine Trading, LLC","NYSE ARCA","N",BJK,
"MARKET VECTORS JUNIO",,GDXJ,GDXJ,"Citadel Securities LLC","NYSE ARCA","N",GDXJ,
"MARKET VECTORS STEEL",MAR,SLX,SLX,"Citadel Securities LLC","NYSE ARCA","N",SLX,
"MARKETAXESS HOLDINGS",FEB,MKTX,MKTX,"Susquehanna Securities","NASDAQ","N",MKTX,
"MARKETO, INC",JAN,MKTO,MKTO,"Wolverine Trading, LLC","NASDAQ","N",MKTO,
"MARKIT LTD. COM SH",JAN,MRKT,MRKT,"Citadel Securities LLC","NASDAQ","N",MRKT,
"MARLIN BUSINESS SERV",MAR,MRLN,MRLN,"Wolverine Trading, LLC","NASDAQ","N",MRLN,
"MARRIOT INT CL A CMN",JAN,MAR,MAR,"Timber Hill LLC","NASDAQ","N",MAR,
"MARRIOTT VACATONS",JAN,VAC,VAC,"Citadel Securities LLC","NYSE","N",VAC,
"MARSH MCLENNAN CO",JAN,MMC,MMC,"Citadel Securities LLC","NYSE","N",MMC,
"MARTEN TRANSPORT L",JAN,MRTN,MRTN,"Wolverine Trading, LLC","NASDAQ","N",MRTN,
"MARTIN MARIETTA MTRL",JAN,MLM,MLM,"Citadel Securities LLC","NYSE","N",MLM,
"MARTIN MIDSTRM LP",JAN,MMLP,MMLP,"Citadel Securities LLC","NASDAQ","N",MMLP,
"MARVELL TECH GROUP",FEB,MRVL,MRVL,"Timber Hill LLC","NASDAQ","N",MRVL,
"MASCO CP",JAN,MAS,MAS,"Citadel Securities LLC","NYSE","N",MAS,
"MASCO CP(ADJ)",,MAS1,MAS1,"Citadel Securities LLC","NYSE","N",MAS,"BLD"
"MASIMO CORPORATION",MAR,MASI,MASI,"Morgan Stanley & Co. LLC","NASDAQ","N",MASI,
"MASONITE INTERNATION",JAN,DOOR,DOOR,"Citadel Securities LLC","NYSE","N",DOOR,
"MAST THERAPEUTICS",JAN,MSTX,MSTX,"Susquehanna Securities","NYSE MKT","N",MSTX,
"MASTEC INC.",JAN,MTZ,MTZ,"Wolverine Trading, LLC","NYSE","N",MTZ,
"MASTERCARD INC",JAN,MA,MA,"Citadel Securities LLC","NYSE","N",MA,
"MATADOR RESOURCES CO",MAR,MTDR,MTDR,"Wolverine Trading, LLC","NYSE","N",MTDR,
"MATCH GROUP, INC. CS",MAR,MTCH,MTCH,"Susquehanna Securities","NASDAQ","N",MTCH,
"MATERIALS SS SPDR FD",,XLB,XLB,"Susquehanna Securities","NYSE ARCA","N",XLB,
"MATERION CORP",MAR,MTRN,MTRN,"Citadel Securities LLC","NYSE","N",MTRN,
"MATRIX SERVICE CO",FEB,MTRX,MTRX,"Citadel Securities LLC","NASDAQ","N",MTRX,
"MATSON, INC.",MAR,MATX,MATX,"Citadel Securities LLC","NYSE","N",MATX,
"MATTEL INC",JAN,MAT,MAT,"Citadel Securities LLC","NASDAQ","N",MAT,
"MATTHEWS INTL CORP",MAR,MATW,MATW,"Susquehanna Securities","NASDAQ","N",MATW,
"MATTSON TECH INC",MAR,MTSN,MTSN,"Susquehanna Securities","NASDAQ","N",MTSN,
"MAXIM INTEGRATED",FEB,MXIM,MXIM,"Citadel Securities LLC","NASDAQ","N",MXIM,
"MAXIMUS INC",JAN,MMS,MMS,"Wolverine Trading, LLC","NYSE","N",MMS,
"MAXLINEAR, INC",MAR,MXL,MXL,"Citadel Securities LLC","NYSE","N",MXL,
"MAXWELL TECHNOLOGIES",MAR,MXWL,MXWL,"Susquehanna Securities","NASDAQ","N",MXWL,
"MB FINANCIAL INC",FEB,MBFI,MBFI,"Wolverine Trading, LLC","NASDAQ","N",MBFI,
"MCCLATCHY CO HLD",JAN,MNI,MNI,"Citadel Securities LLC","NYSE","N",MNI,
"MCCORMICK & CO",MAR,MKC,MKC,"Susquehanna Securities","NYSE","N",MKC,
"MCDERMOTT INT PANAMA",FEB,MDR,MDR,"Timber Hill LLC","NYSE","N",MDR,
"MCDONALDS CP",MAR,MCD,MCD,"Timber Hill LLC","NYSE","N",MCD,
"MCEWEN MINING INC.",FEB,MUX,MUX,"Citadel Securities LLC","NYSE","N",MUX,
"MCGRATH RENTCORP",MAR,MGRC,MGRC,"Susquehanna Securities","NASDAQ","N",MGRC,
"MCGRAW HILL FINL",FEB,MHFI,MHFI,"Citadel Securities LLC","NYSE","N",MHFI,
"MCKESSON CORP",FEB,MCK,MCK,"Citadel Securities LLC","NYSE","N",MCK,
"MDU RESOURCES GROUP",JAN,MDU,MDU,"Susquehanna Securities","NYSE","N",MDU,
"MEAD JOHNSON NUTRITI",FEB,MJN,MJN,"Citadel Securities LLC","NYSE","N",MJN,
"MEDALLION FIN CP",FEB,TAXI,TAXI,"Citadel Securities LLC","NASDAQ","N",TAXI,
"MEDGENICS, INC.",MAR,MDGN,MDGN,"Citadel Securities LLC","NYSE MKT","N",MDGN,
"MEDIA GENERAL, INC.",FEB,MEG,MEG,"Susquehanna Securities","NYSE","N",MEG,
"MEDICINES CO (THE)",JAN,MDCO,MDCO,"Citadel Securities LLC","NASDAQ","N",MDCO,
"MEDICL PROP TRST, IN",JAN,MPW,MPW,"Wolverine Trading, LLC","NYSE","N",MPW,
"MEDIDATA SOLUTIONS,",JAN,MDSO,MDSO,"Susquehanna Securities","NASDAQ","N",MDSO,
"MEDIFAST INC",MAR,MED,MED,"Citadel Securities LLC","NYSE","N",MED,
"MEDIVATION INC",MAR,MDVN,MDVN,"Citadel Securities LLC","NASDAQ","N",MDVN,
"MEDLEY CAPITAL CORP",MAR,MCC,MCC,"Susquehanna Securities","NYSE","N",MCC,
"MEDNAX, INC",FEB,MD,MD,"Susquehanna Securities","NYSE","N",MD,
"MEDTRONIC PLC",FEB,MDT,MDT,"Citadel Securities LLC","NYSE","N",MDT,
"MEETME, INC.",FEB,MEET,MEET,"Citadel Securities LLC","NASDAQ","N",MEET,
"MEI PHARMA, INC. COM",MAR,MEIP,MEIP,"Susquehanna Securities","NASDAQ","N",MEIP,
"MELCO CROWN ENTM ADS",JAN,MPEL,MPEL,"Citigroup Derivatives Markets Inc.","NASDAQ","N",MPEL,
"MELLANOX TECHNOLOGIE",MAR,MLNX,MLNX,"Citadel Securities LLC","NASDAQ","N",MLNX,
"MEMORIAL PRODUCTION",JAN,MEMP,MEMP,"Wolverine Trading, LLC","NASDAQ","N",MEMP,
"MEMORIAL RSRC DEV CS",FEB,MRD,MRD,"Susquehanna Securities","NASDAQ","N",MRD,
"MENTOR GRAPHICS",JAN,MENT,MENT,"Group One Trading, L.P.","NASDAQ","N",MENT,
"MERCADOLIBRE, INC.",MAR,MELI,MELI,"Citadel Securities LLC","NASDAQ","N",MELI,
"MERCER INTL INC",FEB,MERC,MERC,"Susquehanna Securities","NASDAQ","N",MERC,
"MERCK CO INC",JAN,MRK,MRK,"Citigroup Derivatives Markets Inc.","NYSE","N",MRK,
"MERCURY GENERAL CP",MAR,MCY,MCY,"Susquehanna Securities","NYSE","N",MCY,
"MERCURY SYS INC",JAN,MRCY,MRCY,"Morgan Stanley & Co. LLC","NASDAQ","N",MRCY,
"MEREDITH CP",MAR,MDP,MDP,"Susquehanna Securities","NYSE","N",MDP,
"MERIDIAN BIOSCIENCE",JAN,VIVO,VIVO,"Citadel Securities LLC","NASDAQ","N",VIVO,
"MERIT MEDICAL SYS",JAN,MMSI,MMSI,"Citadel Securities LLC","NASDAQ","N",MMSI,
"MERITAGE HOMES CORP",MAR,MTH,MTH,"Citadel Securities LLC","NYSE","N",MTH,
"MERITOR INC",FEB,MTOR,MTOR,"Group One Trading, L.P.","NYSE","N",MTOR,
"MERRIMACK PHARMACEUT",MAR,MACK,MACK,"Susquehanna Securities","NASDAQ","N",MACK,
"MESABI TRUST CTF BI",MAR,MSB,MSB,"Susquehanna Securities","NYSE","N",MSB,
"METABOLIX CMN STK",MAR,MBLX,MBLX,"Citadel Securities LLC","NASDAQ","N",MBLX,
"METHANEX CP",JAN,MEOH,MEOH,"Citadel Securities LLC","NASDAQ","N",MEOH,
"METHODE ELECTR",JAN,MEI,MEI,"Wolverine Trading, LLC","NYSE","N",MEI,
"METLIFE INC",MAR,MET,MET,"Citadel Securities LLC","NYSE","N",MET,
"METTLER TOLEDO INTL",JAN,MTD,MTD,"Susquehanna Securities","NYSE","N",MTD,
"MFA FINANCIAL INC.",JAN,MFA,MFA,"Susquehanna Securities","NYSE","N",MFA,
"MFC BANCORP LTD.",JAN,MFCB,MFCB,"Citadel Securities LLC","NYSE","N",MFCB,
"MGM RESORTS INTL",MAR,MGM,MGM,"Citadel Securities LLC","NYSE","N",MGM,
"MGP INGREDIENTS, INC",MAR,MGPI,MGPI,"Citadel Securities LLC","NASDAQ","N",MGPI,
"MICHAEL KORS HLD LTD",FEB,KORS,KORS,"Susquehanna Securities","NYSE","N",KORS,
"MICROCHIP TECHNOLOGY",JAN,MCHP,MCHP,"Morgan Stanley & Co. LLC","NASDAQ","N",MCHP,
"MICRON TECHNOLOGY",JAN,MU,MU,"Citadel Securities LLC","NASDAQ","N",MU,
"MICROSEMI CORP",MAR,MSCC,MSCC,"Citadel Securities LLC","NASDAQ","N",MSCC,
"MICROSOFT CORP",JAN,MSFT,MSFT,"Citigroup Derivatives Markets Inc.","NASDAQ","N",MSFT,
"MICROSTRATEGY CL A",JAN,MSTR,MSTR,"Susquehanna Securities","NASDAQ","N",MSTR,
"MICROVISION",FEB,MVIS,MVIS,"Susquehanna Securities","NASDAQ","N",MVIS,
"MID AMER APT COMMUN",MAR,MAA,MAA,"Citadel Securities LLC","NYSE","N",MAA,
"MID CAP BULL 3X SHS",JAN,MIDU,MIDU,"Wolverine Trading, LLC","NYSE ARCA","N",MIDU,
"MID-CON ENERGY PARTN",JAN,MCEP,MCEP,"Susquehanna Securities","NASDAQ","N",MCEP,
"MIDCOAST ENERGY PRTN",JAN,MEP,MEP,"Wolverine Trading, LLC","NYSE","N",MEP,
"MIDDLEBY CORP (THE",MAR,MIDD,MIDD,"Susquehanna Securities","NASDAQ","N",MIDD,
"MILLER HERMAN INC",FEB,MLHR,MLHR,"Susquehanna Securities","NASDAQ","N",MLHR,
"MILLER IND NEW",MAR,MLR,MLR,"Wolverine Trading, LLC","NYSE","N",MLR,
"MIMEDX GROUP INC",MAR,MDXG,MDXG,"Susquehanna Securities","NASDAQ","N",MDXG,
"MINERAL TECH INC",FEB,MTX,MTX,"Wolverine Trading, LLC","NYSE","N",MTX,
"MISTRAS GROUP INC",FEB,MG,MG,"Susquehanna Securities","NYSE","N",MG,
"MITCHAM INDS INC",MAR,MIND,MIND,"Susquehanna Securities","NASDAQ","N",MIND,
"MITEK SYSTEMS INC",JAN,MITK,MITK,"Group One Trading, L.P.","NASDAQ","N",MITK,
"MITEL NETWORKS CORP",JAN,MITL,MITL,"Wolverine Trading, LLC","NASDAQ","N",MITL,
"MITSUBISHI UFJ FIN",FEB,MTU,MTU,"Citadel Securities LLC","NYSE","N",MTU,
"MIZUHO FINANCIAL GRO",JAN,MFG,MFG,"Susquehanna Securities","NYSE","N",MFG,
"MKS INSTRUMENTS INC",JAN,MKSI,MKSI,"Wolverine Trading, LLC","NASDAQ","N",MKSI,
"MKT VCTR GBL ALT EGY",,GEX,GEX,"Susquehanna Securities","NYSE ARCA","N",GEX,
"MKT VCTR RUSSIA SBI",FEB,RSX,RSX,"Citadel Securities LLC","NYSE ARCA","N",RSX,
"MKT VECT AGRBSHS",,MOO,MOO,"Citadel Securities LLC","NYSE ARCA","N",MOO,
"MKT VECT GOLD MNRS",,GDX,GDX,"Citigroup Derivatives Markets Inc.","NYSE ARCA","N",GDX,
"MKT VECTOR PHRMA ETF",JAN,PPH,PPH,"Citadel Securities LLC","NYSE ARCA","N",PPH,
"MKT VECTORS OIL SVCS",JAN,OIH,OIH,"Susquehanna Securities","NYSE ARCA","N",OIH,
"MKT VECTORS RETAIL",MAR,RTH,RTH,"Morgan Stanley & Co. LLC","NYSE ARCA","N",RTH,
"MKT VECTORS SEMIS",FEB,SMH,SMH,"Citadel Securities LLC","NYSE ARCA","N",SMH,
"MOBILE MINI INC",FEB,MINI,MINI,"Wolverine Trading, LLC","NASDAQ","N",MINI,
"MOBILE TELSYS PJSC",MAR,MBT,MBT,"Citadel Securities LLC","NYSE","N",MBT,
"MOBILEIRON INC CM",JAN,MOBL,MOBL,"Susquehanna Securities","NASDAQ","N",MOBL,
"MOBILEYE N.V.",MAR,MBLY,MBLY,"Citadel Securities LLC","NYSE","N",MBLY,
"MODEL N, INC.",FEB,MODN,MODN,"Wolverine Trading, LLC","NYSE","N",MODN,
"MODINE MFG CO",FEB,MOD,MOD,"Wolverine Trading, LLC","NYSE","N",MOD,
"MODUSLINK GLOBAL CMN",MAR,MLNK,MLNK,"Susquehanna Securities","NASDAQ","N",MLNK,
"MOHAWK INDS INC",FEB,MHK,MHK,"Citadel Securities LLC","NYSE","N",MHK,
"MOLINA HEALTHCARE",MAR,MOH,MOH,"Barclays Capital Inc.","NYSE","N",MOH,
"MOLSON COORS CO CL B",JAN,TAP,TAP,"Citigroup Derivatives Markets Inc.","NYSE","N",TAP,
"MOMENTA PHARMA",MAR,MNTA,MNTA,"Citadel Securities LLC","NASDAQ","N",MNTA,
"MOMO INC. ADS",JAN,MOMO,MOMO,"Wolverine Trading, LLC","NASDAQ","N",MOMO,
"MONARCH CASINO",MAR,MCRI,MCRI,"Citadel Securities LLC","NASDAQ","N",MCRI,
"MONDELEZ INTL CMN A",MAR,MDLZ,MDLZ,"Citigroup Derivatives Markets Inc.","NASDAQ","N",MDLZ,
"MONMOUTH REAL INV",FEB,MNR,MNR,"Citadel Securities LLC","NYSE","N",MNR,
"MONOLITHIC POWER SYS",MAR,MPWR,MPWR,"Citadel Securities LLC","NASDAQ","N",MPWR,
"MONOTYPE IMAG. HOLD.",FEB,TYPE,TYPE,"Susquehanna Securities","NASDAQ","N",TYPE,
"MONRO MUFFLER BRAK",JAN,MNRO,MNRO,"Morgan Stanley & Co. LLC","NASDAQ","N",MNRO,
"MONSANTO COMPANY",JAN,MON,MON,"Citadel Securities LLC","NYSE","N",MON,
"MONSTER BEVERAGE CP",MAR,MNST,MNST,"Citadel Securities LLC","NASDAQ","N",MNST,
"MONSTER WORLDWIDE",MAR,MWW,MWW,"Timber Hill LLC","NYSE","N",MWW,
"MOODY'S CORP",FEB,MCO,MCO,"Timber Hill LLC","NYSE","N",MCO,
"MORGAN STANLEY",JAN,MS,MS,"Citigroup Derivatives Markets Inc.","NYSE","N",MS,
"MORGANS HOTEL GROUP",JAN,MHGC,MHGC,"Susquehanna Securities","NASDAQ","N",MHGC,
"MORNINGSTAR, INC.",MAR,MORN,MORN,"Citadel Securities LLC","NASDAQ","N",MORN,
"MOSAIC COMPANY NEW",MAR,MOS,MOS,"Citadel Securities LLC","NYSE","N",MOS,
"MOTORCAR PARTS AMER",MAR,MPAA,MPAA,"Citadel Securities LLC","NASDAQ","N",MPAA,
"MOTOROLA SOLUTIONS",JAN,MSI,MSI,"Timber Hill LLC","NYSE","N",MSI,
"MOVADO GROUP INC",MAR,MOV,MOV,"Susquehanna Securities","NYSE","N",MOV,
"MPLX LP",MAR,MPLX,MPLX,"Susquehanna Securities","NYSE","N",MPLX,
"MRC GLOBAL INC.",MAR,MRC,MRC,"Citadel Securities LLC","NYSE","N",MRC,
"MSA SAFETY INC",MAR,MSA,MSA,"Citadel Securities LLC","NYSE","N",MSA,
"MSC INDUSTRIAL DRCT",MAR,MSM,MSM,"Citadel Securities LLC","NYSE","N",MSM,
"MSCI INC",MAR,MSCI,MSCI,"Citadel Securities LLC","NYSE","N",MSCI,
"MSG NETWORKS INC.",FEB,MSGN,MSGN,"Susquehanna Securities","NYSE","N",MSGN,
"MSG NETWORKS INC.(ADJ)",,MSGN1,MSGN1,"Susquehanna Securities","NYSE","N",MSGN,"MSG"
"MUELLER IND INC",MAR,MLI,MLI,"Citadel Securities LLC","NYSE","N",MLI,
"MUELLER WATER PRODUC",FEB,MWA,MWA,"Citadel Securities LLC","NYSE","N",MWA,
"MULTI COLOR CP",JAN,LABL,LABL,"Susquehanna Securities","NASDAQ","N",LABL,
"MURPHY OIL CP HLDG",JAN,MUR,MUR,"Timber Hill LLC","NYSE","N",MUR,
"MURPHY USA INC.",JAN,MUSA,MUSA,"Citadel Securities LLC","NYSE","N",MUSA,
"MVC CAPITAL INC",MAR,MVC,MVC,"Susquehanna Securities","NYSE","N",MVC,
"MVRARETH STRMTLS",FEB,REMX,REMX,"Citadel Securities LLC","NYSE ARCA","N",REMX,
"MYERS INDS INC",MAR,MYE,MYE,"Wolverine Trading, LLC","NYSE","N",MYE,
