Symbol,Company Name, Lead Market Maker
HPE,"HEWLETT PACKARD ENT","*** No LMM ***"
HPQ,"HP Inc.","WOLVERINE TRADING, LLC"
HPT,"HOSPITALITY PROP TR","WOLVERINE TRADING, LLC"
HR,"HEALTHCARE RLTY TR","CITADEL SECURITIES LLC"
HRB,"H R BLOCK INC","WOLVERINE TRADING, LLC"
HRL,"HORMEL FOODS CP","*** No LMM ***"
HRS,"HARRIS CP","*** No LMM ***"
HRTX,"HERON THERAPEUTICS","*** No LMM ***"
HSBC,"HSBC HLDGS PLC ADS","*** No LMM ***"
HSNI,"HSN, INC. CMN STK","*** No LMM ***"
HST,"HOST HOTELS & RESORT","CITADEL SECURITIES LLC"
HSY,"THE HERSHEY COMPANY","GOLDMAN, SACHS & CO."
HTH,"HILLTOP HOLDINGS","*** No LMM ***"
HTS,"HATTERAS FINL CPRP","*** No LMM ***"
HTWR,"HRTWR INTRNTL INC","*** No LMM ***"
HTZ,"HERTZ GLOBAL HOLDING","SUSQUEHANNA SECURITIES"
HUM,"HUMANA INC","CITADEL SECURITIES LLC"
HUN,"HUNTSMAN CORPORATION","GOLDMAN, SACHS & CO."
HW,"HEADWATERS INC","SUSQUEHANNA SECURITIES"
HYG,"ISHARES","WOLVERINE TRADING, LLC"
HYH,"HALYARD HEALTH INC.","*** No LMM ***"
HZNP,"HORIZON PHARMA ORD","SUSQUEHANNA SECURITIES"
I,"Intelsat S.A.","*** No LMM ***"
IAC,"IAC/INTERACTIVE","CITADEL SECURITIES LLC"
IAG,"IAMGOLD CORPORATION","WOLVERINE TRADING, LLC"
IAU,"ISHARES GOLD TRUST","CITADEL SECURITIES LLC"
IBB,"ISHARE NQ BIOTCH ETF","MORGAN STANLEY & CO. LLC"
IBKR,"INTERACTIVE BROKERS","CITADEL SECURITIES LLC"
IBM,"INTL BUSINESS MACH","SUSQUEHANNA SECURITIES"
IBN,"ICICI BK LTD ADS","CITADEL SECURITIES LLC"
ICE,"INTERCONTINENTAL XCH","MORGAN STANLEY & CO. LLC"
ICON,"ICONIX BRAND GROUP","*** No LMM ***"
ICPT,"INTERCEPT PHARMACEUT","MORGAN STANLEY & CO. LLC"
IDCC,"INTERDIGITAL INC","WOLVERINE TRADING, LLC"
IDRA,"IDERA PHARMACEUTICAL","MORGAN STANLEY & CO. LLC"
IDTI,"INTEGRATED DEVICES","WOLVERINE TRADING, LLC"
IEF,"ISHARES 7-10","CITADEL SECURITIES LLC"
IEP,"ICAHN ENTERPRISES","MORGAN STANLEY & CO. LLC"
IGT,"INTERNATIONAL GAME T","WOLVERINE TRADING, LLC"
IL,"INTRALINKS HOLDINGS","*** No LMM ***"
ILMN,"ILLUMINA, INC.","SUSQUEHANNA SECURITIES"
IMAX,"IMAX CORP","MORGAN STANLEY & CO. LLC"
IMGN,"IMMUNOGEN, INC.","CITADEL SECURITIES LLC"
IMH,"IMPAC MTG HLDGS INC","*** No LMM ***"
IMKTA,"INGLES MARKETS INC","*** No LMM ***"
IMMR,"IMMERSION CORP","*** No LMM ***"
IMMU,"IMMUNOMEDICS, INC.","MORGAN STANLEY & CO. LLC"
IMOS,"CHIPMOS TECH NEW","CITADEL SECURITIES LLC"
IMPV,"IMPERVA, INC.","GOLDMAN, SACHS & CO."
IMUC,"IMMUNOCELLULAR THERA","CITADEL SECURITIES LLC"
INCY,"INCYTE CORPORATION","MORGAN STANLEY & CO. LLC"
INFI,"INFINITY PHARMACEUTI","MORGAN STANLEY & CO. LLC"
INFN,"INFINERA CORPORATION","TIMBER HILL LLC"
INFY,"INFOSYS LTD ADS","SUSQUEHANNA SECURITIES"
ING,"ING GROUP NV ADS","WOLVERINE TRADING, LLC"
INO,"INOVIO PHARMA CMN","CITADEL SECURITIES LLC"
INSM,"INSMED INC","SUSQUEHANNA SECURITIES"
INSY,"INSYS THERAPTCS CMN","CITADEL SECURITIES LLC"
INTC,"INTEL CORP","CITADEL SECURITIES LLC"
INTU,"INTUIT INC","GOLDMAN, SACHS & CO."
INTX,"INTERSECTIONS, INC.","*** No LMM ***"
INVA,"Innoviva, Inc.","MORGAN STANLEY & CO. LLC"
INVE,"IDENTIV, INC.","*** No LMM ***"
INVN,"INVENSENSE, INC.","GOLDMAN, SACHS & CO."
INXN,"INTERXION HOLDING NV","*** No LMM ***"
IOC,"INTEROIL CORPORATION","SUSQUEHANNA SECURITIES"
IONS,"IONIS PHARMACEUTICAL","MORGAN STANLEY & CO. LLC"
IP,"INTL PAPER","WOLVERINE TRADING, LLC"
IPG,"INTERPUBLIC GROUP","SUSQUEHANNA SECURITIES"
IPGP,"IPG PHOTONICS CORP","MORGAN STANLEY & CO. LLC"
IPHI,"INPHI CORPORATION","*** No LMM ***"
IPI,"INTREPID POTASH INC","CITADEL SECURITIES LLC"
IPXL,"IMPAX LABS INC","*** No LMM ***"
IQNT,"INTELIQUENT INC CMN","*** No LMM ***"
IR,"INGERSOLL RAND LTD A","GOLDMAN, SACHS & CO."
IRBT,"IROBOT CORPORATION","SUSQUEHANNA SECURITIES"
IRDM,"IRIDIUM COMM INC","WOLVERINE TRADING, LLC"
IRM,"IRON MOUNTAIN (DEL)","WOLVERINE TRADING, LLC"
IRWD,"IRONWOOD PHARMACEUTI","CITADEL SECURITIES LLC"
ISIL,"INTERSIL CORP CLA","*** No LMM ***"
ISRG,"INTUITIVE SURG, INC.","MORGAN STANLEY & CO. LLC"
ITB,"ISHARES  US HCIF","WOLVERINE TRADING, LLC"
ITC,"ITC HOLDINGS CORP","*** No LMM ***"
ITUB,"ITAU UNIBANCO ADS","*** No LMM ***"
ITW,"ILL TOOL WORKS INC","TIMBER HILL LLC"
IVR,"INVESCO MORTGAGE INC","MORGAN STANLEY & CO. LLC"
IVZ,"INVESCO LTD","GOLDMAN, SACHS & CO."
IWC,"iShares Microcap ETF","CITADEL SECURITIES LLC"
IWM,"ISHARE RUS 2000 ETF","WOLVERINE TRADING, LLC"
IWN,"ISHARE RUS 2000 VALU","CITADEL SECURITIES LLC"
IWO,"ISHARES RUSSELL 2000","CITADEL SECURITIES LLC"
IYR,"ISHARE","WOLVERINE TRADING, LLC"
IYT,"ISHARES TRANS AVG","GOLDMAN, SACHS & CO."
JACK,"JACK IN THE BOX INC","*** No LMM ***"
JAH,"JARDEN CP","WOLVERINE TRADING, LLC"
JAKK,"JAKKS PACIFIC INC","SUSQUEHANNA SECURITIES"
JASO,"JA SOLAR HOLDINGS","WOLVERINE TRADING, LLC"
JAZZ,"JAZZ PHARMA PLC","SUSQUEHANNA SECURITIES"
JBHT,"J B HUNT TRANSPORT","WOLVERINE TRADING, LLC"
JBL,"JABIL CIRCUIT INC","SUSQUEHANNA SECURITIES"
JBLU,"JETBLUE AIRWAYS CP","WOLVERINE TRADING, LLC"
JCI,"JOHNSON CONTROLS INC","CITADEL SECURITIES LLC"
JCP,"PENNEY J C CO HOLDIN","CITADEL SECURITIES LLC"
JD,"JD.COM, INC. ADS","GOLDMAN, SACHS & CO."
JE,"JUST ENERGY GROUP","SUSQUEHANNA SECURITIES"
JEC,"JACOBS ENGINEERNG GP","*** No LMM ***"
JIVE,"JIVE SOFTWARE, INC.","CITADEL SECURITIES LLC"
JKS,"JINKOSOLAR HOLDING C","SUSQUEHANNA SECURITIES"
JMBA,"JAMBA, INC. CMN STK","*** No LMM ***"
JMEI,"JUMEI INTL ADR","SUSQUEHANNA SECURITIES"
JNJ,"JOHNSON AND JOHNS DC","*** No LMM ***"
JNK,"SPDR BARCLAY HYB ETF","CITADEL SECURITIES LLC"
JNPR,"JUNIPER NETWORKS","WOLVERINE TRADING, LLC"
JNS,"JANUS CAP GP CMN STK","TIMBER HILL LLC"
JOE,"ST JOE CO (THE)","WOLVERINE TRADING, LLC"
JONE,"Jones Energy, Inc.","*** No LMM ***"
JOY,"JOY GLOBAL INC","SUSQUEHANNA SECURITIES"
JPM,"JP MORGAN CHASE CO","CITADEL SECURITIES LLC"
JRJC,"CHINA FINANCE ONLINE","WOLVERINE TRADING, LLC"
JUNO,"JUNO THERAPEUTICS CM","*** No LMM ***"
JWN,"NORDSTROM INC","WOLVERINE TRADING, LLC"
K,"KELLOGG CO","WOLVERINE TRADING, LLC"
KANG,"IKANG HEALTHCARE ADR","*** No LMM ***"
KAR,"KAR AUCTION SERVICES","*** No LMM ***"
KATE,"Kate Spade & Co","TIMBER HILL LLC"
KBE,"SPDR S&P BANK ETF","WOLVERINE TRADING, LLC"
KBH,"KB HOME","WOLVERINE TRADING, LLC"
KBR,"KBR INC","WOLVERINE TRADING, LLC"
KCG,"KCG HOLDINGS, INC.","TIMBER HILL LLC"
KERX,"KERYX BIOPHARM INC","GOLDMAN, SACHS & CO."
KEX,"KIRBY CORPORATION","*** No LMM ***"
KEY,"KEYCORP","GOLDMAN, SACHS & CO."
KEYW,"KEYW HOLDING CORP","WOLVERINE TRADING, LLC"
KGC,"KINROSS GOLD CP","WOLVERINE TRADING, LLC"
KHC,"KRAFT HEINZ CO CMN","*** No LMM ***"
KIM,"KIMCO REALTY CP","*** No LMM ***"
KITE,"KITE PHARMA, INC. CM","*** No LMM ***"
KKD,"KRISPY KREME DOUGHNT","SUSQUEHANNA SECURITIES"
KKR,"KKR & CO. L.P.","SUSQUEHANNA SECURITIES"
KLAC,"K L A-TENCOR CORP","TIMBER HILL LLC"
KLIC,"KULICKE AND SOFFA","WOLVERINE TRADING, LLC"
KLXI,"KLX INC.","*** No LMM ***"
KMB,"KIMBERLY CLARK CP","GOLDMAN, SACHS & CO."
KMI,"KINDER MORGAN, INC","WOLVERINE TRADING, LLC"
KMX,"CARMAX INC","TIMBER HILL LLC"
KN,"KNOWLES CORP.","*** No LMM ***"
KND,"KINDRED HEALTHCARE","*** No LMM ***"
KNDI,"KANDI TECHS GRP CMN","WOLVERINE TRADING, LLC"
KO,"COCA COLA CO THE","CITADEL SECURITIES LLC"
KODK,"EASTMAN KODAK","*** No LMM ***"
KORS,"MICHAEL KORS HLD LTD","TIMBER HILL LLC"
KOS,"KOSMOS ENERGY LTD.","CITADEL SECURITIES LLC"
KPTI,"KARYOPHARM THERAPEUT","*** No LMM ***"
KR,"KROGER CO","GOLDMAN, SACHS & CO."
KRE,"SPDR S&P REGIONAL BA","WOLVERINE TRADING, LLC"
KS,"KAPSTONE PAPER","CITADEL SECURITIES LLC"
KSS,"KOHLS CP","WOLVERINE TRADING, LLC"
KSU,"KANSAS CITY SOUTHERN","GOLDMAN, SACHS & CO."
KTOS,"KRATOS DEFNS","*** No LMM ***"
KZ,"KONGZHONG CORP","WOLVERINE TRADING, LLC"
LAD,"LITHIA MOTORS INC","*** No LMM ***"
LAMR,"LAMAR ADVERTIS A","CITADEL SECURITIES LLC"
LAZ,"LAZARD LTD.","WOLVERINE TRADING, LLC"
LB,"L BRANDS, INC","CITADEL SECURITIES LLC"
LBTYA,"LIBERTY GLOBAL ORD A","GOLDMAN, SACHS & CO."
LBTYK,"LIBERTY GLOBAL ORD C","CITADEL SECURITIES LLC"
LC,"LENDINGCLUB CORP","*** No LMM ***"
LCI,"Lannett Company Inc","*** No LMM ***"
LDOS,"LEIDOS HLDGS, INC.","GOLDMAN, SACHS & CO."
LE,"LANDS' END INC CMN","GOLDMAN, SACHS & CO."
LEA,"LEAR CORPORATION","WOLVERINE TRADING, LLC"
LEG,"LEGGETT PLATT INC","WOLVERINE TRADING, LLC"
LEN,"LENNAR CP CL A","*** No LMM ***"
LF,"LEAPFROG ENTERPRISES","WOLVERINE TRADING, LLC"
LFC,"CHINA LIFE INS CO","WOLVERINE TRADING, LLC"
LGCY,"LEGACY RESERVES LP","*** No LMM ***"
LGF,"LIONS GATE ENTMT CP","*** No LMM ***"
LGND,"LIGAND PHARM CMN","*** No LMM ***"
LH,"LABORATORY CORP NEW","CITADEL SECURITIES LLC"
LINE,"LINN ENERGY LLC UTS","*** No LMM ***"
LITB,"LIGHTINTHEBOX ADR","CITADEL SECURITIES LLC"
LJPC,"LA JOLLA PHARMA","*** No LMM ***"
LKQ,"LKQ CORP","*** No LMM ***"
LL,"LUMBER LIQUID HLDGS","WOLVERINE TRADING, LLC"
LLL,"L-3 COMM HLDGS INC","SUSQUEHANNA SECURITIES"
LLNW,"LIMELIGHT NETWORKS,","*** No LMM ***"
LLTC,"LINEAR TECHNOLOGY","WOLVERINE TRADING, LLC"
LLY,"LILLY ELI CO","CITADEL SECURITIES LLC"
LM,"LEGG MASON INC","WOLVERINE TRADING, LLC"
LMOS,"LUMOS NETWORKS CORP","SUSQUEHANNA SECURITIES"
LMT,"LOCKHEED MARTIN CP","WOLVERINE TRADING, LLC"
LNC,"LINCOLN NATL CP","TIMBER HILL LLC"
LNCO,"LINN CO, LLC","WOLVERINE TRADING, LLC"
LNG,"CHENIERE ENERGY INC","SUSQUEHANNA SECURITIES"
LNKD,"LinkedIn Corporation","WOLVERINE TRADING, LLC"
LOCK,"LifeLock, Inc.","WOLVERINE TRADING, LLC"
LOCO,"EL POLLO LOCO CMN","GOLDMAN, SACHS & CO."
LOGI,"LOGITECH INT SA","WOLVERINE TRADING, LLC"
LOGM,"LOGMEIN, INC.","MORGAN STANLEY & CO. LLC"
LOW,"LOWES COMPANIES","SUSQUEHANNA SECURITIES"
LPI,"LAREDO PETROLEUM INC","WOLVERINE TRADING, LLC"
LPX,"LOUISIANA PACIFIC CP","GOLDMAN, SACHS & CO."
LQ,"LA QUINTA HOLDINGS","*** No LMM ***"
LQD,"ISHARES","CITADEL SECURITIES LLC"
LQDT,"LIQUIDITY SERVICES","WOLVERINE TRADING, LLC"
LRCX,"LAM RESEARCH CORP","SUSQUEHANNA SECURITIES"
LUK,"LEUCADIA NATL CP","SUSQUEHANNA SECURITIES"
LULU,"LULULEMON ATHLETICA","SUSQUEHANNA SECURITIES"
LUV,"SOUTHWEST AIRLINES","SUSQUEHANNA SECURITIES"
LVLT,"LEVEL 3 COMM INC","SUSQUEHANNA SECURITIES"
LVS,"LAS VEGAS SANDS CORP","WOLVERINE TRADING, LLC"
LXK,"LEXMARK INTL INC","CITADEL SECURITIES LLC"
LYB,"LYONDELLBASELL","WOLVERINE TRADING, LLC"
LYG,"LLOYDS BNKG GP ADS","WOLVERINE TRADING, LLC"
LYV,"LIVE NATION ENTMNT","WOLVERINE TRADING, LLC"
LZB,"LA Z BOY INC","WOLVERINE TRADING, LLC"
M,"MACY'S INC","TIMBER HILL LLC"
MA,"MASTERCARD INC","WOLVERINE TRADING, LLC"
MAC,"MACERICH CO","WOLVERINE TRADING, LLC"
MACK,"MERRIMACK PHARMACEUT","MORGAN STANLEY & CO. LLC"
MAN,"MANPOWERGROUP","*** No LMM ***"
MANH,"MANHATTAN ASSOC","*** No LMM ***"
MAR,"MARRIOT INT CL A CMN","SUSQUEHANNA SECURITIES"
MAS,"MASCO CP","SUSQUEHANNA SECURITIES"
MAT,"MATTEL INC","WOLVERINE TRADING, LLC"
MBI,"M B I A INC","WOLVERINE TRADING, LLC"
MBLY,"MOBILEYE N.V.","*** No LMM ***"
MBT,"MOBILE TELSYS PJSC","*** No LMM ***"
MCD,"MCDONALDS CP","WOLVERINE TRADING, LLC"
MCEP,"MID-CON ENERGY PARTN","*** No LMM ***"
MCF,"CONTANGO OIL & GAS","*** No LMM ***"
MCHP,"MICROCHIP TECHNOLOGY","*** No LMM ***"
MCK,"MCKESSON CORP","TIMBER HILL LLC"
MCO,"MOODY'S CORP","CITADEL SECURITIES LLC"
MDC,"M D C HOLDINGS","TIMBER HILL LLC"
MDCO,"MEDICINES CO (THE)","MORGAN STANLEY & CO. LLC"
MDLZ,"MONDELEZ INTL CMN A","WOLVERINE TRADING, LLC"
MDP,"MEREDITH CP","*** No LMM ***"
MDR,"MCDERMOTT INT PANAMA","WOLVERINE TRADING, LLC"
MDRX,"ALLSCRIPTS HLTHCARE","WOLVERINE TRADING, LLC"
MDSO,"MEDIDATA SOLUTIONS,","WOLVERINE TRADING, LLC"
MDT,"MEDTRONIC PLC","SUSQUEHANNA SECURITIES"
MDVN,"MEDIVATION INC","MORGAN STANLEY & CO. LLC"
MDXG,"MIMEDX GROUP INC","*** No LMM ***"
MDY,"SPDR S&P MIDCAP 400","SUSQUEHANNA SECURITIES"
MED,"MEDIFAST INC","SUSQUEHANNA SECURITIES"
MEG,"MEDIA GENERAL, INC.","SUSQUEHANNA SECURITIES"
MEI,"METHODE ELECTR","MORGAN STANLEY & CO. LLC"
MELI,"MERCADOLIBRE, INC.","GOLDMAN, SACHS & CO."
MEMP,"MEMORIAL PRODUCTION","*** No LMM ***"
MENT,"MENTOR GRAPHICS","*** No LMM ***"
MEOH,"METHANEX CP","TIMBER HILL LLC"
MET,"METLIFE INC","SUSQUEHANNA SECURITIES"
MFC,"MANULIFE FIN CORP","*** No LMM ***"
MFRM,"MATTRESS FIRM HLDG C","*** No LMM ***"
MGA,"MAGNA INTL INC","SUSQUEHANNA SECURITIES"
MGI,"MONEYGRAM INTL CMN","*** No LMM ***"
MGM,"MGM RESORTS INTL","TIMBER HILL LLC"
MHFI,"MCGRAW HILL FINL","CITADEL SECURITIES LLC"
MHK,"MOHAWK INDS INC","MORGAN STANLEY & CO. LLC"
MHLD,"MAIDEN HOLDINGS LTD","*** No LMM ***"
MIC,"MACQUARIE INFRASTRUC","*** No LMM ***"
MIFI,"NOVATEL WIRELESS CMN","*** No LMM ***"
MIK,"THE MICHAELS COMP CM","*** No LMM ***"
MJN,"MEAD JOHNSON NUTRITI","*** No LMM ***"
MKC,"MCCORMICK & CO","*** No LMM ***"
MKTO,"MARKETO, INC","CITADEL SECURITIES LLC"
MLM,"MARTIN MARIETTA MTRL","WOLVERINE TRADING, LLC"
MLNX,"MELLANOX TECHNOLOGIE","*** No LMM ***"
MMC,"MARSH MCLENNAN CO","WOLVERINE TRADING, LLC"
MMLP,"MARTIN MIDSTRM LP","*** No LMM ***"
MMM,"3M COMPANY","SUSQUEHANNA SECURITIES"
MMP,"MAGELLAN MIDSTREAM","MORGAN STANLEY & CO. LLC"
MNK,"MALLINCKRODT PLC","MORGAN STANLEY & CO. LLC"
MNKD,"MANNKIND CORPORATION","GOLDMAN, SACHS & CO."
MNST,"MONSTER BEVERAGE CP","GOLDMAN, SACHS & CO."
MNTA,"MOMENTA PHARMA","CITADEL SECURITIES LLC"
MO,"ALTRIA GROUP INC","CITADEL SECURITIES LLC"
MOBI,"SKY-MOBI LIMITED","WOLVERINE TRADING, LLC"
MOBL,"MOBILEIRON INC CM","*** No LMM ***"
MODN,"MODEL N, INC.","CITADEL SECURITIES LLC"
MOH,"MOLINA HEALTHCARE","*** No LMM ***"
MOMO,"MOMO INC. ADS","*** No LMM ***"
MON,"MONSANTO COMPANY","SUSQUEHANNA SECURITIES"
MOS,"MOSAIC COMPANY NEW","SUSQUEHANNA SECURITIES"
MPC,"MARATHON PETROLEUM","WOLVERINE TRADING, LLC"
MPEL,"MELCO CROWN ENTM ADS","CITADEL SECURITIES LLC"
MPLX,"MPLX LP","*** No LMM ***"
MPW,"MEDICL PROP TRST, IN","*** No LMM ***"
MPWR,"MONOLITHIC POWER SYS","*** No LMM ***"
MRC,"MRC GLOBAL INC.","*** No LMM ***"
MRD,"MEMORIAL RSRC DEV CS","*** No LMM ***"
MRK,"MERCK CO INC","CITADEL SECURITIES LLC"
MRKT,"MARKIT LTD. COM SH","WOLVERINE TRADING, LLC"
MRO,"MARATHON OIL CORP","WOLVERINE TRADING, LLC"
MRVL,"MARVELL TECH GROUP","WOLVERINE TRADING, LLC"
MS,"MORGAN STANLEY","WOLVERINE TRADING, LLC"
MSB,"MESABI TRUST CTF BI","*** No LMM ***"
MSCC,"MICROSEMI CORP","*** No LMM ***"
MSFT,"MICROSOFT CORP","GOLDMAN, SACHS & CO."
MSGN,"MSG NETWORKS INC.","WOLVERINE TRADING, LLC"
MSI,"MOTOROLA SOLUTIONS","CITADEL SECURITIES LLC"
MSTR,"MICROSTRATEGY CL A","*** No LMM ***"
MT,"ARCELOR MITTAL NEW","WOLVERINE TRADING, LLC"
MTB,"M&T BANK CORP","SUSQUEHANNA SECURITIES"
MTDR,"MATADOR RESOURCES CO","SUSQUEHANNA SECURITIES"
MTG,"M G I C INVEST CP","WOLVERINE TRADING, LLC"
MTGE,"AMERICAN CAP MTG INV","WOLVERINE TRADING, LLC"
MTH,"MERITAGE HOMES CORP","TIMBER HILL LLC"
MTN,"VAIL RESORTS INC","*** No LMM ***"
MTOR,"MERITOR INC","CITADEL SECURITIES LLC"
MTW,"MANITOWOC CO INC","MORGAN STANLEY & CO. LLC"
MTZ,"MASTEC INC.","CITADEL SECURITIES LLC"
MU,"MICRON TECHNOLOGY","MORGAN STANLEY & CO. LLC"
MUB,"ISHARES NATIONAL MUN","WOLVERINE TRADING, LLC"
MUR,"MURPHY OIL CP HLDG","WOLVERINE TRADING, LLC"
MVIS,"MICROVISION","MORGAN STANLEY & CO. LLC"
MWW,"MONSTER WORLDWIDE","WOLVERINE TRADING, LLC"
MX,"MAGNACHIP SEMICONDUC","*** No LMM ***"
MXIM,"MAXIM INTEGRATED","WOLVERINE TRADING, LLC"
MXWL,"MAXWELL TECHNOLOGIES","MORGAN STANLEY & CO. LLC"
MYCC,"CLUBCORP HLDGS, INC.","*** No LMM ***"
MYGN,"MYRIAD GENETICS, INC","CITADEL SECURITIES LLC"
MYL,"MYLAN NV ORD SHS","MORGAN STANLEY & CO. LLC"
N,"NETSUITE INC","WOLVERINE TRADING, LLC"
NAT,"NORDIC AMRN TANKERS","MORGAN STANLEY & CO. LLC"
NAV,"NAVISTAR INTL CP","SUSQUEHANNA SECURITIES"
NAVB,"NAVIDEA BIOPHAR INC","WOLVERINE TRADING, LLC"
NAVI,"NAVIENT CP CMN","*** No LMM ***"
NBIX,"NEUROCRINE BIOSCIENC","CITADEL SECURITIES LLC"
NBL,"NOBLE ENERGY INC","SUSQUEHANNA SECURITIES"
NBR,"NABORS INDS LTD NEW","WOLVERINE TRADING, LLC"
NCLH,"NORWEGIAN CRUISE ORD","*** No LMM ***"
NCMI,"NATIONAL CINEMEDIA","*** No LMM ***"
NCR,"NCR CP","WOLVERINE TRADING, LLC"
NCT,"NEWCASTLE INV CP","WOLVERINE TRADING, LLC"
NDAQ,"NASDAQ, INC. CMN STK","*** No LMM ***"
NDLS,"NOODLES & CO CLA CMN","GOLDMAN, SACHS & CO."
NE,"NOBLE CORPORATION","WOLVERINE TRADING, LLC"
NEE,"NEXTERA ENERGY, INC.","SUSQUEHANNA SECURITIES"
NEM,"NEWMONT MINING CORP","WOLVERINE TRADING, LLC"
NEON,"Neonode Inc.","CITADEL SECURITIES LLC"
NEPT,"NEPTUNE TECH","MORGAN STANLEY & CO. LLC"
NFG,"NATL FUEL GAS CO","*** No LMM ***"
NFLX,"NETFLIX, INC.","SUSQUEHANNA SECURITIES"
NFX,"NEWFIELD EXP COM","SUSQUEHANNA SECURITIES"
NG,"NOVAGOLD RESOURCES I","WOLVERINE TRADING, LLC"
NGD,"NEW GOLD INC","CITADEL SECURITIES LLC"
NGG,"NATIONAL GRID PLC","MORGAN STANLEY & CO. LLC"
NGL,"NGL ENERGY PARTNERS","*** No LMM ***"
NHTC,"NATURAL HLTH TRD CM","*** No LMM ***"
NI,"NISOURCE INC HLDG CO","WOLVERINE TRADING, LLC"
NILE,"BLUE NILE, INC.","*** No LMM ***"
NKE,"NIKE INC CL B","WOLVERINE TRADING, LLC"
NKTR,"NEKTAR THERAPEUTICS","MORGAN STANLEY & CO. LLC"
NLNK,"NEWLINK GENETICS COR","GOLDMAN, SACHS & CO."
NLS,"NAUTILUS INC","*** No LMM ***"
NLSN,"NIELSEN NV ORD SHS","WOLVERINE TRADING, LLC"
NLY,"ANNALY CAPITAL MANAG","WOLVERINE TRADING, LLC"
NM,"NAVIOS MARITIME","WOLVERINE TRADING, LLC"
NMBL,"NIMBLE STORAGE, INC.","SUSQUEHANNA SECURITIES"
NMM,"NAVIOS MARITIME PTN","MORGAN STANLEY & CO. LLC"
NNN,"NATIONAL RETAIL PROP","*** No LMM ***"
NOAH,"NOAH HOLDINGS LTD","WOLVERINE TRADING, LLC"
NOC,"NORTHROP GRUM HOL CO","SUSQUEHANNA SECURITIES"
NOG,"NORTHERN OIL AND GAS","MORGAN STANLEY & CO. LLC"
NOK,"NOKIA CP ADS","WOLVERINE TRADING, LLC"
NOV,"NATL OILWELL VARCO","WOLVERINE TRADING, LLC"
NOW,"SERVICENOW, INC.","MORGAN STANLEY & CO. LLC"
NPTN,"NEOPHOTONIC CORP","*** No LMM ***"
NQ,"NQ Mobile Inc.","CITADEL SECURITIES LLC"
NRF,"NORTHSTAR REALTY","WOLVERINE TRADING, LLC"
NRG,"NRG ENERGY INC","WOLVERINE TRADING, LLC"
NRP,"NATURAL RES PTNRS LP","WOLVERINE TRADING, LLC"
NRZ,"NEW RESIDENTIAL INVT","*** No LMM ***"
NS,"NUSTAR ENERGY L.P.","WOLVERINE TRADING, LLC"
NSAM,"NORTHSTAR ASSET","*** No LMM ***"
NSC,"NORFOLK SOUTHERN CP","WOLVERINE TRADING, LLC"
NSH,"NUSTAR GP HGS UTS","CITADEL SECURITIES LLC"
NSM,"NATIONSTAR MORTGAGE","GOLDMAN, SACHS & CO."
NSR,"NEUSTAR, INC. CL A","WOLVERINE TRADING, LLC"
NTAP,"NETAPP, INC.","SUSQUEHANNA SECURITIES"
NTCT,"NETSCOUT SYSTEMS I","*** No LMM ***"
NTES,"NETEASE INC ADS","*** No LMM ***"
NTGR,"NETGEAR INC","*** No LMM ***"
NTI,"NORTHERN TIER ENERGY","CITADEL SECURITIES LLC"
NTLS,"NTELOS HOLDINGS","WOLVERINE TRADING, LLC"
NTP,"NAM TAI PROPERTY","MORGAN STANLEY & CO. LLC"
NTRI,"NUTRISYSTEM INC","WOLVERINE TRADING, LLC"
NTRS,"NORTHERN TRUST CORP","*** No LMM ***"
NUAN,"NUANCE COMMUNICATNS","SUSQUEHANNA SECURITIES"
NUE,"NUCOR CP","WOLVERINE TRADING, LLC"
NUGT,"DXN DLY GLDMNR NDX 3","SUSQUEHANNA SECURITIES"
NUS,"NU SKIN ENT INC","GOLDMAN, SACHS & CO."
NUVA,"NUVASIVE, INC.","*** No LMM ***"
NVAX,"NOVAVAX, INC.","MORGAN STANLEY & CO. LLC"
NVDA,"NVIDIA CORPORATION","TIMBER HILL LLC"
NVGS,"NAVIGATOR HOLDINGS","*** No LMM ***"
NVO,"NOVO NORDISK A S","CITADEL SECURITIES LLC"
NVS,"NOVARTIS AG ADS","CITADEL SECURITIES LLC"
NWBO,"NORTHWEST BIOTH CMN","MORGAN STANLEY & CO. LLC"
NWL,"NEWELL RUBBERMAID","*** No LMM ***"
NWPX,"NORTHWEST PIPE CO","*** No LMM ***"
NWSA,"NEWS CP CL A CMN ST","WOLVERINE TRADING, LLC"
NXPI,"NXP SEMICONDUCTORS","*** No LMM ***"
NXST,"NEXSTAR BROADCASTING","SUSQUEHANNA SECURITIES"
NXTM,"NXSTAGE MEDICAL, INC","*** No LMM ***"
NYCB,"NEW YORK CMMTY BNC","TIMBER HILL LLC"
NYMT,"NEW YORK MTGE TRUST","CITADEL SECURITIES LLC"
NYNY,"EMPIRE RESORTS INC","*** No LMM ***"
O,"REALTY INCOME CP","WOLVERINE TRADING, LLC"
OA,"Orbital ATK, Inc.","*** No LMM ***"
OAK,"OAKTREE CAPITAL","MORGAN STANLEY & CO. LLC"
OAS,"Oasis Petroleum Inc.","CITADEL SECURITIES LLC"
OC,"OWENS CORNING","*** No LMM ***"
OCN,"OCWEN FINL CORP","SUSQUEHANNA SECURITIES"
ODFL,"OLD DOMINION FREIG","*** No LMM ***"
ODP,"OFFICE DEPOT CMN","CITADEL SECURITIES LLC"
OFG,"OFG BANCORP","*** No LMM ***"
