Symbol,Company Name, Lead Market Maker
ARP,"ATLAS RESOURCE PRTNR","WOLVERINE TRADING, LLC"
ARR,"ARMOUR RESIDENTIAL R","WOLVERINE TRADING, LLC"
ARRS,"ARRIS GROUP INC","GOLDMAN, SACHS & CO."
ARRY,"ARRAY BIOPHARMA INC","MORGAN STANLEY & CO. LLC"
ARW,"ARROW ELCTS","*** No LMM ***"
ARWR,"ARROWHEAD RESEARCH","MORGAN STANLEY & CO. LLC"
ASGN,"ON ASSIGNMENT INC","*** No LMM ***"
ASH,"ASHLAND INC (NEW)","WOLVERINE TRADING, LLC"
ASHR,"DEUTSCHE X-TRKR 300","*** No LMM ***"
ASML,"ASML HLDG NY REG","GOLDMAN, SACHS & CO."
ASNA,"ASCENA RETAIL GRP CM","*** No LMM ***"
ASPS,"ALTISOURCE PORTFOLIO","*** No LMM ***"
AT,"ATLANTIC POWER CORP","CITADEL SECURITIES LLC"
ATHM,"AUTOHOME INC.","*** No LMM ***"
ATHN,"ATHENAHEALTH, INC.","SUSQUEHANNA SECURITIES"
ATHX,"ATHERSYS INC","MORGAN STANLEY & CO. LLC"
ATI,"ALLEGHENY TECH NEW","SUSQUEHANNA SECURITIES"
ATLS,"ATLAS ENERGY GRP LLC","*** No LMM ***"
ATML,"ATMEL CORP","SUSQUEHANNA SECURITIES"
ATRS,"ANTARES PHARMA CMN","MORGAN STANLEY & CO. LLC"
ATVI,"ACTIVISION BLIZZARD","WOLVERINE TRADING, LLC"
ATW,"ATWOOD OCEANICS INC","*** No LMM ***"
AU,"ANGLOGOLD ASHANTI LT","CITADEL SECURITIES LLC"
AUMN,"Golden Minerals Co","WOLVERINE TRADING, LLC"
AUO,"AU OPTRONICS CP ADS","*** No LMM ***"
AUY,"YAMANA GOLD INC","*** No LMM ***"
AVAV,"AEROVIRONMENT, INC.","WOLVERINE TRADING, LLC"
AVB,"AVALONBAY CMTYS","*** No LMM ***"
AVD,"AMER VANGUARD CP","CITADEL SECURITIES LLC"
AVEO,"AVEO PHARMACEUTICALS","SUSQUEHANNA SECURITIES"
AVG,"AVG TECHNOLOGIES NV","CITADEL SECURITIES LLC"
AVGO,"BROADCOM LTD","MORGAN STANLEY & CO. LLC"
AVP,"AVON PRODUCTS INC","SUSQUEHANNA SECURITIES"
AVT,"AVNET INC","WOLVERINE TRADING, LLC"
AWI,"ARMSTRONG WORLD INDU","*** No LMM ***"
AWK,"AMERICAN WTR WRKS CO","*** No LMM ***"
AXAS,"ABRAXAS PETRO CORP","WOLVERINE TRADING, LLC"
AXDX,"ACCELERATE DIAGNOSTI","CITADEL SECURITIES LLC"
AXL,"AMER AXLE&MFG HLDS","MORGAN STANLEY & CO. LLC"
AXLL,"AXIALL CORPORATION","GOLDMAN, SACHS & CO."
AXP,"AMER EXPRESS INC","CITADEL SECURITIES LLC"
AXS,"AXIS CAP HLDGS LTD","*** No LMM ***"
AXTA,"AXALTA COATING SYSTM","*** No LMM ***"
AYI,"ACUITY BRANDS INC","*** No LMM ***"
AZN,"ASTRAZENECA PLC ADS","MORGAN STANLEY & CO. LLC"
AZO,"AUTOZONE INC","SUSQUEHANNA SECURITIES"
BA,"BOEING CO","SUSQUEHANNA SECURITIES"
BABA,"ALIBABA GROUP HL LTD","WOLVERINE TRADING, LLC"
BABY,"NATUS MEDICAL INC","WOLVERINE TRADING, LLC"
BAC,"BK OF AMERICA CP","WOLVERINE TRADING, LLC"
BAS,"BASIC ENERGY SRVC","CITADEL SECURITIES LLC"
BAX,"BAXTER INTL INC","CITADEL SECURITIES LLC"
BBBY,"BED BATH & BEYOND","SUSQUEHANNA SECURITIES"
BBD,"BANCO BRADESCO ADS","*** No LMM ***"
BBEP,"BREITBURN ENERGY","MORGAN STANLEY & CO. LLC"
BBG,"BILL BARRETT CORP","WOLVERINE TRADING, LLC"
BBRY,"BLACKBERRY LIMITED","TIMBER HILL LLC"
BBT,"BB&T CP","SUSQUEHANNA SECURITIES"
BBW,"BUILD A BEAR WORKSHP","*** No LMM ***"
BBY,"BEST BUY CO INC","WOLVERINE TRADING, LLC"
BC,"BRUNSWICK CP","CITADEL SECURITIES LLC"
BCC,"BOISE CASCADE L.L.C.","*** No LMM ***"
BCE,"B C E INC","*** No LMM ***"
BCEI,"BONANZA CREEK ENERGY","CITADEL SECURITIES LLC"
BCO,"BRINKS COMPANY","CITADEL SECURITIES LLC"
BCOR,"BLUCORA, INC CMN","*** No LMM ***"
BCOV,"Brightcove Inc.","*** No LMM ***"
BCR,"BARD C R INC","GOLDMAN, SACHS & CO."
BCRX,"BIOCRYST PHARMA INC","MORGAN STANLEY & CO. LLC"
BCS,"BARCLAYS PLC ADR","TIMBER HILL LLC"
BDE,"BLACK DIAMOND, INC.","*** No LMM ***"
BDSI,"BIODELIVERY SCI INTL","SUSQUEHANNA SECURITIES"
BDX,"BECTON DICKINSON  CO","WOLVERINE TRADING, LLC"
BEAT,"BioTelemetry, Inc.","CITADEL SECURITIES LLC"
BEAV,"BE AEROSPACE INC","TIMBER HILL LLC"
BEBE,"BEBE STORES INC","*** No LMM ***"
BEL,"BELMOND LTD CL A","*** No LMM ***"
BEN,"FRANKLIN RES INC","CITADEL SECURITIES LLC"
BERY,"BERRY PLASTICS GROUP","*** No LMM ***"
BFR,"BBVA BANCO FRANCES","WOLVERINE TRADING, LLC"
BG,"BUNGE LTD","GOLDMAN, SACHS & CO."
BGC,"GEN CABLE CP","CITADEL SECURITIES LLC"
BGCP,"BGC PARTNERS CL A","*** No LMM ***"
BGS,"B&G FOODS INC","*** No LMM ***"
BHI,"BAKER HUGHES INTL","WOLVERINE TRADING, LLC"
BHP,"BHP BILLITON LIMITED","WOLVERINE TRADING, LLC"
BIB,"PROSHRS ULTRA NQ BIO","CITADEL SECURITIES LLC"
BID,"SOTHEBYS","TIMBER HILL LLC"
BIDU,"BAIDU, INC.","WOLVERINE TRADING, LLC"
BIG,"BIG LOTS INC","WOLVERINE TRADING, LLC"
BIIB,"BIOGEN INC CMN","MORGAN STANLEY & CO. LLC"
BIOD,"BIODEL INC.","CITADEL SECURITIES LLC"
BIOS,"BIOSCRIP INC","*** No LMM ***"
BIS,"PROSHRS ULSHT NQ BIO","CITADEL SECURITIES LLC"
BITA,"BITAUTO HOLDINGS LTD","MORGAN STANLEY & CO. LLC"
BJRI,"BJ'S RESTAURANTS INC","*** No LMM ***"
BK,"BANK OF NY MELLON CP","*** No LMM ***"
BKD,"BROOKDALE SENIOR LVG","WOLVERINE TRADING, LLC"
BKE,"BUCKLE INC","*** No LMM ***"
BKS,"BARNES & NOBLE","WOLVERINE TRADING, LLC"
BLDP,"BALLARD POWER SYS","GOLDMAN, SACHS & CO."
BLDR,"BUILDERS FIRSTSOURCE","*** No LMM ***"
BLK,"BLACKROCK INC","TIMBER HILL LLC"
BLL,"BALL CP","*** No LMM ***"
BLMN,"BLOOMIN' BRANDS, INC","*** No LMM ***"
BLOX,"Infoblox Inc.","WOLVERINE TRADING, LLC"
BLUE,"BLUEBIRD BIO CMN","CITADEL SECURITIES LLC"
BMA,"BANCO MACRO SA","*** No LMM ***"
BMO,"BANK OF MONTREAL","*** No LMM ***"
BMRN,"BIOMARIN PHARMACEUT","SUSQUEHANNA SECURITIES"
BMS,"BEMIS CO INC","*** No LMM ***"
BMY,"BRISTOL-MYERS SQUIBB","CITADEL SECURITIES LLC"
BNED,"BARNES & NOBLE EDUCA","*** No LMM ***"
BNS,"BANK OF NOVA SCOTIA","*** No LMM ***"
BOBE,"BOB EVANS FARMS","CITADEL SECURITIES LLC"
BOFI,"BOFI HOLDING, INC.","SUSQUEHANNA SECURITIES"
BOIL,"PROSHARES ULT NATGAS","WOLVERINE TRADING, LLC"
BONT,"BON TON STORES THE","WOLVERINE TRADING, LLC"
BOX,"BOX, INC. CL A","*** No LMM ***"
BP,"BP PLC","WOLVERINE TRADING, LLC"
BPI,"BRIDGEPOINT EDUCATIO","MORGAN STANLEY & CO. LLC"
BPL,"BUCKEYE PARTNERS LTD","CITADEL SECURITIES LLC"
BPOP,"POPULAR, INC.","*** No LMM ***"
BPT,"B P PRUDHOE BAY UTS","CITADEL SECURITIES LLC"
BR,"BROADRIDGE FIN SOL","*** No LMM ***"
BRCD,"BROCADE COMM SYS","GOLDMAN, SACHS & CO."
BRFS,"BRF  SA","WOLVERINE TRADING, LLC"
BRK.B,"BERKSHIRE HATH HLD B","WOLVERINE TRADING, LLC"
BRKR,"BRUKER CORPORATION","*** No LMM ***"
BRS,"BRISTOW GROUP INC","*** No LMM ***"
BSFT,"BROADSOFT INC","SUSQUEHANNA SECURITIES"
BSX,"BOSTON SCIENTIFIC CP","WOLVERINE TRADING, LLC"
BTE,"BAYTEX ENERGY CORP","*** No LMM ***"
BTU,"PEABODY ENERGY CORP","WOLVERINE TRADING, LLC"
BTX,"BIOTIME INC","*** No LMM ***"
BUD,"ANH BSCH INB SA ADR","GOLDMAN, SACHS & CO."
BURL,"BURLINGTON STORES","*** No LMM ***"
BV,"BAZAARVOICE, INC.","CITADEL SECURITIES LLC"
BVN,"BUENAVENTURA MINING","*** No LMM ***"
BWA,"BORG WARNER INC","SUSQUEHANNA SECURITIES"
BWLD,"BUFFALO WILD WINGS","*** No LMM ***"
BWP,"BOARDWALK PIPELINE","WOLVERINE TRADING, LLC"
BX,"BLACKSTONE GRP LP UT","SUSQUEHANNA SECURITIES"
BXE,"BELLATRIX EXPLOR","WOLVERINE TRADING, LLC"
BXLT,"BAXALTA INC.","*** No LMM ***"
BXMT,"BLACKSTONE MTG TR","*** No LMM ***"
BXP,"BOSTON PPTYS INC","*** No LMM ***"
BYD,"BOYD GAMING CORP","WOLVERINE TRADING, LLC"
BZH,"BEAZER HOMES USA INC","CITADEL SECURITIES LLC"
C,"CITIGROUP INC","WOLVERINE TRADING, LLC"
CA,"CA INC","CITADEL SECURITIES LLC"
CAA,"CALATLANTIC GRP, INC","WOLVERINE TRADING, LLC"
CAB,"CABELAS INC","TIMBER HILL LLC"
CACQ,"CAESARS ACQUISITION","WOLVERINE TRADING, LLC"
CAG,"CONAGRA FOOD INC","SUSQUEHANNA SECURITIES"
CAH,"CARDINAL HEALTH INC","CITADEL SECURITIES LLC"
CAKE,"CHEESECAKE FACT","CITADEL SECURITIES LLC"
CALL,"MAGICJACK VOCALTEC L","WOLVERINE TRADING, LLC"
CALM,"CAL-MAINE FOODS IN","*** No LMM ***"
CAM,"CAMERON INTL CP","CITADEL SECURITIES LLC"
CAMP,"CALAMP CORP","MORGAN STANLEY & CO. LLC"
CAR,"AVIS BUDGET GROUP, I","*** No LMM ***"
CAT,"CATERPILLAR INC","WOLVERINE TRADING, LLC"
CAVM,"CAVIUM, INC.","SUSQUEHANNA SECURITIES"
CB,"D/B/A CHUBB LTD NEW","WOLVERINE TRADING, LLC"
CBG,"CBRE GROUP, INC. A","CITADEL SECURITIES LLC"
CBI,"CHGO BRIDGE & IRON","CITADEL SECURITIES LLC"
CBL,"C B L & ASSOC PRP","*** No LMM ***"
CBM,"CAMBREX CP","*** No LMM ***"
CBOE,"CBOE HOLDINGS, INC.","WOLVERINE TRADING, LLC"
CBRL,"CRACKER BARREL","MORGAN STANLEY & CO. LLC"
CBS,"CBS CORP CL B","CITADEL SECURITIES LLC"
CC,"CHEMOURS CO","SUSQUEHANNA SECURITIES"
CCE,"COCA COLA ENTRPR INC","SUSQUEHANNA SECURITIES"
CCI,"CROWN CASTLE INTL","WOLVERINE TRADING, LLC"
CCIH,"CHINACACHE HLDGS ADR","CITADEL SECURITIES LLC"
CCJ,"CAMECO CP","WOLVERINE TRADING, LLC"
CCK,"CROWN HOLDINGS INC","CITADEL SECURITIES LLC"
CCL,"CARNIVAL CORP","SUSQUEHANNA SECURITIES"
CCLP,"CSI COMPRESSCO CMN","*** No LMM ***"
CCOI,"COGENT COMM HLDGS","*** No LMM ***"
CCRN,"CROSS CTRY HLTHCR","*** No LMM ***"
CDE,"COEUR MINING, INC.","WOLVERINE TRADING, LLC"
CDK,"CDK GLOBAL, INC.","*** No LMM ***"
CDNS,"CADENCE DESIGN SYS","WOLVERINE TRADING, LLC"
CDW,"CDW CORPORATION","*** No LMM ***"
CE,"CELANESE CORPORATION","MORGAN STANLEY & CO. LLC"
CECO,"CAREER EDUCATION","WOLVERINE TRADING, LLC"
CELG,"CELGENE CORP","MORGAN STANLEY & CO. LLC"
CEMP,"CEMPRA, INC.","*** No LMM ***"
CENX,"CENTURY ALUMINUM C","WOLVERINE TRADING, LLC"
CEO,"CNOOC LTD ADS","GOLDMAN, SACHS & CO."
CEQP,"CRESTWOOD EQ PRTNRS","*** No LMM ***"
CERN,"CERNER CORP","WOLVERINE TRADING, LLC"
CERS,"CERUS CORP","WOLVERINE TRADING, LLC"
CEVA,"CEVA INC","*** No LMM ***"
CF,"CF IND HLDGS INC","CITADEL SECURITIES LLC"
CFG,"CITIZENS FINL GROUP","CITADEL SECURITIES LLC"
CFR,"CULLEN FROST BNKRS","*** No LMM ***"
CFX,"COLFAX CORPORATION","*** No LMM ***"
CG,"THE CARLYLE GROUP","MORGAN STANLEY & CO. LLC"
CGEN,"COMPUGEN LTD","CITADEL SECURITIES LLC"
CGNX,"COGNEX CP","*** No LMM ***"
CHGG,"CHEGG, INC.","CITADEL SECURITIES LLC"
CHK,"CHESAPEAKE ENERGY CP","WOLVERINE TRADING, LLC"
CHKP,"CHECK POINT SOFTWARE","CITADEL SECURITIES LLC"
CHKR,"CHESAPEAKE GRANITE","*** No LMM ***"
CHL,"CHINA MOBILE LIMITED","WOLVERINE TRADING, LLC"
CHMT,"CHEMTURA CORP","WOLVERINE TRADING, LLC"
CHRW,"C.H. ROBINSON WW","WOLVERINE TRADING, LLC"
CHS,"CHICO'S F A S INC","*** No LMM ***"
CHTR,"CHARTER COMMUNICATIO","*** No LMM ***"
CHU,"CHINA UNICOM (HK)LTD","CITADEL SECURITIES LLC"
CHUY,"CHUY'S HOLDINGS, INC","*** No LMM ***"
CI,"CIGNA CP","*** No LMM ***"
CIE,"COBALT INTERNATIONAL","TIMBER HILL LLC"
CIEN,"CIENA CORP","SUSQUEHANNA SECURITIES"
CIG,"COMP ENERG CEMIG ADS","MORGAN STANLEY & CO. LLC"
CIM,"CHIMERA INVESTMENT","*** No LMM ***"
CIT,"CIT GROUP, INC","TIMBER HILL LLC"
CJES,"C&J ENERGY SVS LTD","*** No LMM ***"
CL,"COLGATE PALMOLIVE","SUSQUEHANNA SECURITIES"
CLB,"CORE LABS NV","MORGAN STANLEY & CO. LLC"
CLBS,"CALADRIUS BIO CMN","SUSQUEHANNA SECURITIES"
CLD,"CLOUD PEAK ENERGY IN","*** No LMM ***"
CLDX,"CELLDEX THERAPEUTICS","MORGAN STANLEY & CO. LLC"
CLF,"CLIFFS NATURAL","GOLDMAN, SACHS & CO."
CLH,"CLEAN HARBORS INC","WOLVERINE TRADING, LLC"
CLMT,"CALUMET SPECIALTY PR","SUSQUEHANNA SECURITIES"
CLNE,"CLEAN ENERGY FUELS","WOLVERINE TRADING, LLC"
CLNY,"COLONY CAPITAL CL A","*** No LMM ***"
CLR,"CONTINENTAL RESRCES","MORGAN STANLEY & CO. LLC"
CLSN,"CELSION CORP","SUSQUEHANNA SECURITIES"
CLVS,"CLOVIS ONCOLOGY, INC","SUSQUEHANNA SECURITIES"
CLX,"CLOROX CO","WOLVERINE TRADING, LLC"
CM,"CANADIAN IMP BK COMM","*** No LMM ***"
CMA,"COMERICA INC","WOLVERINE TRADING, LLC"
CMC,"COMMERCIAL METALS CO","*** No LMM ***"
CMCM,"CHEETAH MOBILE ADS","*** No LMM ***"
CMCSA,"COMCAST CORP A","SUSQUEHANNA SECURITIES"
CME,"CME GROUP INC","CITADEL SECURITIES LLC"
CMG,"CHIPOTLE MEX GRILL","MORGAN STANLEY & CO. LLC"
CMI,"CUMMINS INC","WOLVERINE TRADING, LLC"
CMP,"COMPASS MINERALS INT","*** No LMM ***"
CMPR,"CIMPRESS N.V. ORD","WOLVERINE TRADING, LLC"
CMRX,"CHIMERIX, INC.","*** No LMM ***"
CMS,"CMS ENERGY CP","*** No LMM ***"
CNAT,"CONATUS PHARMACEUTIC","SUSQUEHANNA SECURITIES"
CNC,"CENTENE CORP","GOLDMAN, SACHS & CO."
CNI,"CANADIAN NATL RAILWY","WOLVERINE TRADING, LLC"
CNL,"CLECO CORPORATION","*** No LMM ***"
CNP,"CENTERPOINT ENERGY","WOLVERINE TRADING, LLC"
CNQ,"CANADIAN NAT RES","WOLVERINE TRADING, LLC"
CNX,"CONS ENERGY INC","WOLVERINE TRADING, LLC"
COF,"CAPITAL ONE FINANCIA","SUSQUEHANNA SECURITIES"
COG,"CABOT OIL GAS CP","WOLVERINE TRADING, LLC"
COH,"COACH INC","SUSQUEHANNA SECURITIES"
COL,"ROCKWELL COLLINS INC","CITADEL SECURITIES LLC"
COLM,"COLUMBIA SPRTSWR","*** No LMM ***"
COMM,"COMMSCOPE HOLDING CO","CITADEL SECURITIES LLC"
CONE,"CYRUSONE INC CMN","*** No LMM ***"
CONN,"CONN'S, INC.","MORGAN STANLEY & CO. LLC"
COO,"COOPER COS INC","*** No LMM ***"
COP,"CONOCOPHILLIPS","MORGAN STANLEY & CO. LLC"
CORN,"TEUCRIUM CORN FUND","CITADEL SECURITIES LLC"
COST,"COSTCO WHOLESALE","WOLVERINE TRADING, LLC"
COT,"COTT CP","*** No LMM ***"
COTY,"COTY INC.","CITADEL SECURITIES LLC"
CP,"CANADIAN PAC RAILWAY","MORGAN STANLEY & CO. LLC"
CPA,"COPA HOLDINGS S.A.","*** No LMM ***"
CPB,"CAMPBELL SOUP CO","WOLVERINE TRADING, LLC"
CPE,"CALLON PETROLEUM","WOLVERINE TRADING, LLC"
CPLP,"CAPITAL PRODUCT PART","*** No LMM ***"
